Company,TypeName,Inches,Ram,OpSys,Weight,Price,PPI,Touchscreen,Cpu_Series,SSD_Capacity_GB,Has_HDD,Dedicated_GPU,OS_Group
Apple,Ultrabook,13.3,8,macOS,1.37,71378,226.98300468106115,0,Core i5,128,0,0,Others
Apple,Ultrabook,13.3,8,macOS,1.34,47895,127.67794013309688,0,Core i5,0,0,0,Others
HP,Notebook,15.6,8,No OS,1.86,30636,141.21199808219862,0,Core i5,256,0,0,Others
Apple,Ultrabook,15.4,16,macOS,1.83,135195,220.53462386625827,0,Core i7,512,0,1,Others
Apple,Ultrabook,13.3,8,macOS,1.37,96095,226.98300468106115,0,Core i5,256,0,0,Others
Acer,Notebook,15.6,4,Windows 10,2.1,21312,100.45466986113651,0,Other,0,1,1,Windows
Apple,Ultrabook,15.4,16,Mac OS X,2.04,114017,220.53462386625827,0,Core i7,0,0,0,MacOS
Apple,Ultrabook,13.3,8,macOS,1.34,61735,127.67794013309688,0,Core i5,0,0,0,Others
Asus,Ultrabook,14.0,16,Windows 10,1.3,79653,157.3505121487356,0,Core i7,512,0,0,Windows
Acer,Ultrabook,14.0,8,Windows 10,1.6,41025,157.3505121487356,0,Core i5,256,0,0,Windows
HP,Notebook,15.6,4,No OS,1.86,20986,100.45466986113651,0,Core i5,0,1,0,Others
HP,Notebook,15.6,4,No OS,1.86,18381,141.21199808219862,0,Core i3,0,1,0,Others
Apple,Ultrabook,15.4,16,macOS,1.83,130001,220.53462386625827,0,Core i7,256,0,1,Others
Dell,Notebook,15.6,4,Windows 10,2.2,26581,141.21199808219862,0,Core i3,256,0,1,Windows
Apple,Ultrabook,12.0,8,macOS,0.92,67260,226.41554716935852,0,Other,256,0,0,Others
Apple,Ultrabook,13.3,8,macOS,1.37,80908,226.98300468106115,0,Core i5,256,0,0,Others
Dell,Notebook,15.6,8,Windows 10,2.2,39693,141.21199808219862,0,Core i7,256,0,1,Windows
Apple,Ultrabook,15.4,16,macOS,1.83,152274,220.53462386625827,0,Core i7,512,0,1,Others
Lenovo,Notebook,15.6,8,No OS,2.2,26586,141.21199808219862,0,Core i3,0,1,0,Others
Dell,Ultrabook,13.3,8,Windows 10,1.22,52161,165.6321180513006,1,Core i5,128,0,0,Windows
Asus,Netbook,11.6,2,Windows 10,0.98,10224,135.0942111925629,0,Other,0,0,0,Windows
Lenovo,Gaming,15.6,8,Windows 10,2.5,53226,141.21199808219862,0,Core i5,128,1,0,Windows
HP,Notebook,15.6,4,No OS,1.86,13746,100.45466986113651,0,Other,0,1,1,Others
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,43636,165.6321180513006,1,Core i5,256,0,0,Windows
HP,Ultrabook,15.6,8,Windows 10,1.91,35111,141.21199808219862,0,Core i7,256,0,0,Windows
Dell,Notebook,15.6,4,Windows 10,2.3,22305,100.45466986113651,0,Core i3,0,1,0,Windows
Apple,Ultrabook,13.3,8,Mac OS X,1.35,58554,127.67794013309688,0,Core i5,0,0,0,MacOS
Dell,Notebook,15.6,8,Windows 10,2.2,42624,141.21199808219862,0,Core i5,256,0,1,Windows
Dell,Ultrabook,15.6,8,Windows 10,1.88,69157,141.21199808219862,0,Core i7,512,0,0,Windows
HP,Notebook,17.3,8,Windows 10,2.5,47738,127.33567457123111,0,Core i5,0,1,0,Windows
Others,Notebook,15.6,4,Windows 10,1.89,13053,141.21199808219862,0,Other,0,0,0,Windows
Asus,Notebook,14.0,2,Windows 10,1.65,10602,111.93520355955211,0,Other,0,0,1,Windows
HP,Notebook,17.3,4,Windows 10,2.71,23389,127.33567457123111,0,Other,0,1,1,Windows
Dell,Ultrabook,13.3,16,Windows 10,1.2,99580,276.053530085501,1,Core i7,512,0,0,Windows
Apple,Ultrabook,13.3,8,Mac OS X,1.35,53173,127.67794013309688,0,Core i5,0,0,0,MacOS
Lenovo,Notebook,14.0,4,Windows 10,1.44,13266,111.93520355955211,0,Celeron,0,0,0,Windows
Acer,Notebook,15.6,4,Linux,2.1,19553,100.45466986113651,0,Core i3,0,1,0,Linux-Based
Dell,Notebook,17.3,8,Windows 10,2.8,52161,127.33567457123111,0,Core i5,128,1,1,Windows
HP,Notebook,15.6,4,Windows 10,1.86,26037,100.45466986113651,0,Core i5,0,1,0,Windows
HP,Notebook,15.6,8,Windows 10,2.1,46833,141.21199808219862,0,Core i5,256,0,0,Windows
Asus,Notebook,15.6,4,Linux,2.0,20725,141.21199808219862,0,Core i3,0,1,0,Linux-Based
Dell,Gaming,15.6,16,Windows 10,2.65,79866,141.21199808219862,0,Core i7,256,1,0,Windows
Asus,Notebook,15.6,8,Linux,2.3,27864,100.45466986113651,0,Core i5,0,1,0,Linux-Based
Acer,Notebook,15.6,4,Windows 10,2.2,36336,141.21199808219862,0,Core i5,256,0,0,Windows
Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,53226,127.33567457123111,1,Core i5,0,1,0,Windows
Apple,Ultrabook,13.3,8,macOS,1.37,75604,226.98300468106115,0,Core i5,256,0,0,Others
Lenovo,Notebook,15.6,4,No OS,2.2,19660,100.45466986113651,0,Core i3,128,0,0,Others
Asus,Gaming,17.3,8,Windows 10,3.2,69210,127.33567457123111,0,Other,256,1,1,Windows
